,Code,SMILES
179,CC04401,CC1=NC(C2=CC=C(S(N(CCC3)CCN3C(OC(C)(C)C)=O)(=O)=O)S2)=CS1
180,CC06013,CC1=NC(C2=CC=C(S(NCCNC(OC(C)(C)C)=O)(=O)=O)S2)=CS1
181,CC10209,CC1=NC(C2=CC=C(S(NCCC3=CC=C(OC)C(OC)=C3)(=O)=O)S2)=CS1
182,CC12201,CC1=NC(C2=CC=C(S(N(CCC3)CCN3C(N=C4)=CC=C4C(F)(F)F)(=O)=O)S2)=CS1
183,CC13401,CC1=NC(C2=CC=C(S(NC3=CC=C(Cl)C=C3Cl)(=O)=O)S2)=CS1
184,CC14901,ClC1=CC(Cl)=CC=C1/C=N/CCNC(OC(C)(C)C)=O
185,CC17401,OC1=CC=C(/C=N/CCNC(OC(C)(C)C)=O)C=C1
186,CC00080,CC1=NC(C2=CC=C(S(N3CCCCCC3)(=O)=O)S2)=CS1
187,CC00801,CC1=NC(C2=CC=C(S(NC3=CC=C(C)C=C3C)(=O)=O)S2)=CS1
188,CC01909,CC1=NC(C2=CC=C(S(NCC3=CC=CC=N3)(=O)=O)S2)=CS1
189,CC04409,CC1=NC(C2=CC=C(S(NCC3=CC=CN=C3)(=O)=O)S2)=CS1
190,CC06601,O=C(N1CCNC(OC(C)(C)C)=O)C2(CCCC2)CC1=O
191,CC10501,O=[N+]([O-])C1=CC=CC(/C=N/CCNC(OC(C)(C)C)=O)=C1
192,CC12301,C1(N2CCNCCC2)=NC(C3=CC=CC=C3)=NS1
193,CC13409,O=C(NS(C(C=C1)=CC=C1C)(=O)=O)N2CCN(CCC2)C3=NC(C4=CC=CC=C4)=NS3
194,CC15501,CC1=NC(C2=CC=C(S(NC3=CC=C(Br)C=C3Cl)(=O)=O)S2)=CS1
195,CC17409,CC1=NC(C2=CC=C(S(N(CCC3)CCN3C4=NC=C(C(F)(F)F)C=C4Cl)(=O)=O)S2)=CS1
196,CC00094,CC1=NC(C2=CC=C(S(OC3=CC=C(C)C=C3C)(=O)=O)S2)=CS1
197,CC01301,CC1=NC(C2=CC=C(S(NC3=CC=C(OC)C=C3OC)(=O)=O)S2)=CS1
